object,image,force,mask
Cross,data_all/cross7/tactile_nobg/1713300228272.png,"[0.02, 0.037, -1.499]",data_all/cross7/depth_align_cross7/1713300256075_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713296752154.png,"[-0.097, 0.047, -10.815]",data_all/cross7/depth_align_cross7/1713296756463_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713327082587.png,"[-0.125, -0.047, -2.568]",data_all/cross7/depth_align_cross7/1713327105584_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713330478596.png,"[0.605, 0.077, -10.351]",data_all/cross7/depth_align_cross7/1713330482502_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713315455158.png,"[0.269, -0.235, -6.674]",data_all/cross7/depth_align_cross7/1713315463229_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713320402829.png,"[0.026, -0.093, -1.616]",data_all/cross7/depth_align_cross7/1713320425986_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713325092212.png,"[0.283, 0.141, -4.355]",data_all/cross7/depth_align_cross7/1713325104186_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713325889402.png,"[0.125, -0.162, -4.343]",data_all/cross7/depth_align_cross7/1713325900969_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713294269040.png,"[-0.024, 0.28, -3.916]",data_all/cross7/depth_align_cross7/1713294281859_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713315321751.png,"[0.261, 0.12, -4.471]",data_all/cross7/depth_align_cross7/1713315333533_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713330256751.png,"[0.084, -0.144, -4.636]",data_all/cross7/depth_align_cross7/1713330272080_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713312824610.png,"[0.171, 0.387, -5.378]",data_all/cross7/depth_align_cross7/1713312840646_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713316383475.png,"[0.001, 0.728, -11.491]",data_all/cross7/depth_align_cross7/1713316387286_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713294172706.png,"[0.11, -0.107, -2.518]",data_all/cross7/depth_align_cross7/1713294189782_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713327590052.png,"[-0.086, 0.076, -7.186]",data_all/cross7/depth_align_cross7/1713327605336_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713319589410.png,"[0.143, 0.274, -7.515]",data_all/cross7/depth_align_cross7/1713319597180_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713323739475.png,"[-0.002, 0.254, -6.526]",data_all/cross7/depth_align_cross7/1713323751605_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713310424576.png,"[-0.019, 0.064, -2.012]",data_all/cross7/depth_align_cross7/1713310443512_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713314980220.png,"[0.423, -0.149, -8.761]",data_all/cross7/depth_align_cross7/1713314988393_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713319706465.png,"[0.135, 0.078, -2.778]",data_all/cross7/depth_align_cross7/1713319721804_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713298923025.png,"[-0.034, 0.084, -1.129]",data_all/cross7/depth_align_cross7/1713298946878_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713319075306.png,"[0.213, 0.275, -11.143]",data_all/cross7/depth_align_cross7/1713319079265_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713294846968.png,"[-0.038, -0.008, -1.048]",data_all/cross7/depth_align_cross7/1713294872309_depth_align.npy
