object,image,force,reference_image
Cross,data_all/cross7/tactile_nobg/1713329426819.png,"[0.188, -0.028, -6.151]",data_all/cross7/tactile_nobg/1713329426819.png
Cross,data_all/cross7/tactile_nobg/1713326078164.png,"[-0.015, -0.036, -0.429]",data_all/cross7/tactile_nobg/1713326078164.png
Cross,data_all/cross7/tactile_nobg/1713292339521.png,"[0.23, -0.499, -7.377]",data_all/cross7/tactile_nobg/1713292339521.png
Cross,data_all/cross7/tactile_nobg/1713310375840.png,"[0.042, -0.034, -1.076]",data_all/cross7/tactile_nobg/1713310375840.png
Cross,data_all/cross7/tactile_nobg/1713288518967.png,"[-0.129, 0.111, -2.643]",data_all/cross7/tactile_nobg/1713288518967.png
Cross,data_all/cross7/tactile_nobg/1713320688395.png,"[-0.008, -0.041, -0.592]",data_all/cross7/tactile_nobg/1713320688395.png
Cross,data_all/cross7/tactile_nobg/1713302411195.png,"[-0.075, 0.185, -3.271]",data_all/cross7/tactile_nobg/1713302411195.png
Cross,data_all/cross7/tactile_nobg/1713321274908.png,"[-0.093, -0.108, -1.326]",data_all/cross7/tactile_nobg/1713321274908.png
Cross,data_all/cross7/tactile_nobg/1713304942362.png,"[0.328, -0.229, -12.093]",data_all/cross7/tactile_nobg/1713304942362.png
Cross,data_all/cross7/tactile_nobg/1713294409763.png,"[-0.061, 0.36, -5.966]",data_all/cross7/tactile_nobg/1713294409763.png
Cross,data_all/cross7/tactile_nobg/1713303634170.png,"[0.012, -0.017, -2.42]",data_all/cross7/tactile_nobg/1713303634170.png
Cross,data_all/cross7/tactile_nobg/1713288444724.png,"[-0.215, 0.725, -8.969]",data_all/cross7/tactile_nobg/1713288444724.png
Cross,data_all/cross7/tactile_nobg/1713306779140.png,"[0.084, 0.56, -9.841]",data_all/cross7/tactile_nobg/1713306779140.png
Cross,data_all/cross7/tactile_nobg/1713311879335.png,"[0.057, 0.164, -9.247]",data_all/cross7/tactile_nobg/1713311879335.png
Cross,data_all/cross7/tactile_nobg/1713328918642.png,"[0.123, -0.023, -4.537]",data_all/cross7/tactile_nobg/1713328918642.png
Cross,data_all/cross7/tactile_nobg/1713311995402.png,"[-0.004, 0.061, -5.7]",data_all/cross7/tactile_nobg/1713311995402.png
Cross,data_all/cross7/tactile_nobg/1713329218939.png,"[0.261, 0.191, -7.09]",data_all/cross7/tactile_nobg/1713329218939.png
Cross,data_all/cross7/tactile_nobg/1713290392697.png,"[0.02, 0.219, -12.805]",data_all/cross7/tactile_nobg/1713290392697.png
Cross,data_all/cross7/tactile_nobg/1713321332262.png,"[-0.006, 0.483, -6.478]",data_all/cross7/tactile_nobg/1713321332262.png
Cross,data_all/cross7/tactile_nobg/1713312855632.png,"[0.039, -0.073, -1.755]",data_all/cross7/tactile_nobg/1713312855632.png
Cross,data_all/cross7/tactile_nobg/1713318507552.png,"[0.056, 0.142, -10.031]",data_all/cross7/tactile_nobg/1713318507552.png
Cross,data_all/cross7/tactile_nobg/1713291995962.png,"[0.325, 0.155, -9.264]",data_all/cross7/tactile_nobg/1713291995962.png
